siteId,date,phMean,phMax,phMin,phSd,phCnt,caMean,caMax,caMin,caSd,caCnt,tempMean,tempMax,tempMin,tempSd,tempCnt,uniqueSiteDates
WYDEQ_WATERSHED-MRW0190,2012-06-18,7.96,7.96,7.96,,1.0,,,,,,10.07,10.07,10.07,,1.0,2012-06-18_break_WYDEQ_WATERSHED-MRW0190
WYDEQ_WATERSHED-MRW0163,2012-10-09,8.57,8.57,8.57,,1.0,,,,,,6.94,6.94,6.94,,1.0,2012-10-09_break_WYDEQ_WATERSHED-MRW0163
WYDEQ_WATERSHED-MRW0189,2012-06-21,7.61,7.61,7.61,,1.0,,,,,,15.15,15.15,15.15,,1.0,2012-06-21_break_WYDEQ_WATERSHED-MRW0189
11NPSWRD_WQX-GRTE_SNR01,2015-07-09,8.0,8.0,8.0,,1.0,18.25,19.7,16.3,1.45487685619,4.0,14.46,14.46,14.46,,1.0,2015-07-09_break_11NPSWRD_WQX-GRTE_SNR01
11NPSWRD_WQX-GRTE_SNR01,2015-04-14,,,,,,17.5,17.5,17.5,0.0,2.0,6.8,6.8,6.8,,1.0,2015-04-14_break_11NPSWRD_WQX-GRTE_SNR01
WYDEQ_WATERSHED-MRW0163,2012-06-18,8.45,8.45,8.45,,1.0,,,,,,16.75,16.75,16.75,,1.0,2012-06-18_break_WYDEQ_WATERSHED-MRW0163
WYDEQ_WATERSHED-MRW0189,2012-06-18,7.95,7.95,7.95,,1.0,,,,,,13.77,13.77,13.77,,1.0,2012-06-18_break_WYDEQ_WATERSHED-MRW0189
1119USBR_WQX-JAC101,2015-08-11,7.645,8.39,6.9,1.05358910397,2.0,14.8,14.8,14.8,,1.0,18.1,18.1,18.1,,1.0,2015-08-11_break_1119USBR_WQX-JAC101
11NPSWRD_WQX-GRTE_SNR01,2015-05-13,,,,,,11.25,11.6,10.9,0.494974746831,2.0,10.0,10.0,10.0,,1.0,2015-05-13_break_11NPSWRD_WQX-GRTE_SNR01
11NPSWRD_WQX-GRTE_SNR01,2015-09-23,7.98,7.98,7.98,,1.0,21.2,21.3,21.1,0.141421356237,2.0,11.01,11.01,11.01,,1.0,2015-09-23_break_11NPSWRD_WQX-GRTE_SNR01
